Papel;Empresa;Setor;Subsetor;Cotação;Valor da Firma;Valor de Mercado;Número de Ações;P/L;Div. Yield;EV/EBITDA;EV/EBIT;ROE;ROIC;Lucro Líquido (ano)
GFSA3;GAFISA ON;Construção e Engenharia;Construção Civil;600;1.277.150.000;1.173.660.000;195.610.000;-31971;0,0;2631;3289;-0,3;1,8;-3.671.000
CAML3;CAMIL ON NM;Alimentos;Alimentos Diversos;1259;5.944.320.000;4.658.300.000;370.000.000;-35006;1,3;3917;3917;-0,5;3,5;-13.307.000
STBP3;SBPAR ON NM;Transporte;Serviços de Apoio e Armazenagem;550;3.767.900.000;3.683.890.000;669.798.000;-81358;0,3;2095;9946;-0,3;1,3;-4.528.000
ANIM3;ANIMA ON NM;Diversos;Educacional;2847;3.569.850.000;3.163.670.000;111.123.000;-7787;0,0;1138;2008;-2,5;6,8;-40.630.000
BTOW3;B2W - COMPANHIA GLOBAL DO VAREJO ON;Comércio;Produtos Diversos;11577;60.935.300.000;60.745.100.000;524.705.000;-25960;0,0;7656;26428;-4,2;3,4;-233.993.000
APER3;ALPER S.A. ON;Previdência e Seguros;Corretoras de Seguros;2920;259.313.000;335.216.000;11.480.000;-9534;0,2;8547;-8253;-2,0;-1,8;-3.516.000
CEAB3;CEA MODAS ON NM;Comércio;Tecidos, Vestuário e Calçados;1133;5.143.820.000;3.492.420.000;308.245.000;-6632;0,0;931;9621;-2,0;1,1;-52.658.900
NTCO3;GRUPO NATURA ON NM;Prods. de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal;4981;75.643.700.000;62.367.900.000;1.252.120.000;-5918;0,0;4234;4234;-4,5;3,7;-1.053.830.000
LPSB3;LOPES BRASIL ON NM;Construção e Engenharia;Intermediação Imobiliária;518;629.709.000;764.333.000;147.555.000;-4804;0,0;1492;2862;-9,9;9,7;-15.910.000
RANI3;CELULOSE IRANI ON;Madeira e Papel;Papel e Celulose;443;1.815.940.000;1.137.270.000;256.720.000;-4185;0,2;678;1201;-7,3;10,9;-27.172.000
TELB4;TELEBRAS PN;Outros;Outros;3816;2.010.150.000;2.589.730.000;67.865.000;-4092;0,0;-2531;-743;-3,9;-8,1;-63.282.000
ECOR3;ECORODOVIAS ON NM;Transporte;Exploração de Rodovias;1342;14.414.500.000;7.497.740.000;558.699.000;-3801;0,0;787;1153;-32,1;12,7;-197.275.000
RCSL4;RECRUSUL PN;Material de Transporte;Material Rodoviário;151;113.940.000;114.493.000;75.823.000;-3586;0,0;14589;38107;4,7;0,8;-3.193.000
HBOR3;Helbor ON;Construção e Engenharia;Construção Civil;1388;2.784.310.000;1.857.850.000;133.851.000;-2960;0,0;-9751;-7743;-5,1;-1,0;-62.774.000
MILS3;MILLS ON NM;Construção e Engenharia;Construção Civil;699;1.713.210.000;1.761.160.000;251.954.000;-3570;0,0;1247;-4985;-4,5;-3,0;-49.339.000
VVAR3;VIAVAREJO ON;Comércio;Eletrodomésticos;1974;35.124.100.000;31.525.100.000;1.597.020.000;-2720;0,0;1715;3156;-23,0;5,9;-1.159.000.000
PRNR3;PRINER ON NM;Serviços;Serviços Diversos;1019;317.248.000;387.679.000;38.045.000;-2204;0,0;2589;-3887;-8,0;-4,3;-17.587.000
MEAL3;IMC S/A ON NM;Hoteis e Restaurantes;Restaurante e Similares;401;1.425.040.000;1.148.340.000;286.370.000;-2127;0,0;2572;-8872;-4,4;-0,7;-53.977.000
CSNA3;CSN ON;Siderurgia e Metalurgia;Siderurgia;1448;50.702.500.000;20.091.300.000;1.387.520.000;-2084;2,1;850;1194;-23,2;9,5;-964.117.000
COGN3;COGNA ON;Diversos;Educacional;656;21.308.900.000;12.310.500.000;1.876.610.000;-1918;0,1;1563;5475;-3,6;1,2;-641.788.000
TUPY3;TUPY ON;Material de Transporte;Material Rodoviário;1709;3.682.480.000;2.464.000.000;144.178.000;-1629;0,0;637;1557;-6,4;5,4;-151.296.000
AALR3;ALLIAR ON NM;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;1159;1.947.430.000;1.371.020.000;118.293.000;-1623;0,8;1678;-80075;-7,2;-0,1;-84.480.000
GBIO33;BIOTOSCANA DR3;Saúde;Medicamentos e Outros Produtos;1038;1.313.710.000;1.106.740.000;106.622.000;-1494;0,0;1604;1604;-8,8;7,1;-74.069.400
USIM3;USIMINAS ON N1;Siderurgia e Metalurgia;Siderurgia;1006;16.319.100.000;12.606.000.000;1.253.080.000;-1388;0,4;910;2078;-6,7;3,4;-908.292.000
USIM5;USIMINAS PNA N1;Siderurgia e Metalurgia;Siderurgia;957;15.705.100.000;11.992.000.000;1.253.080.000;-1320;0,5;875;1999;-6,7;3,4;-908.292.000
LOGN3;Log-In ON NM;Transporte;Transporte Hidroviário;1718;2.583.530.000;1.812.300.000;105.489.000;-1361;0,0;1239;2963;-65,6;7,1;-133.196.000
BKBR3;BK BRASIL ON NM;Hoteis e Restaurantes;Restaurante e Similares;1065;2.783.920.000;2.429.320.000;228.105.000;-1237;0,5;1604;-1948;-12,7;-5,1;-196.379.000
KLBN3;KLABIN ON N2;Madeira e Papel;Papel e Celulose;567;52.264.800.000;31.460.000.000;5.548.500.000;-1123;1,7;1096;2276;-100,5;8,8;-2.802.130.000
MYPK3;IOCHPE-MAXION ON;Material de Transporte;Material Rodoviário;1222;5.514.620.000;1.878.460.000;153.720.000;-1048;5,4;1052;10206;-4,8;0,6;-179.256.000
KLBN11;KLABIN UNT N2;Madeira e Papel;Papel e Celulose;2611;49.779.100.000;28.974.300.000;5.548.500.000;-1034;1,8;1043;2168;-100,5;8,8;-2.802.130.000
